Order_ID,Shipping_Mode,Days_for_shipping_real,Days_for_shipment_scheduled,Order_Item_Quantity,Sales,Order_Profit_Per_Order,Category_Name,Order_Region,Order_Date,Shipping_Date
100001,Standard Class,3,5,3.0,104.85,8.12,Clothing,Central,2017-01-31 10:06:50.810810808,2017-02-03 10:06:50.810810808
100002,Same Day,4,0,1.0,36.29,4.34,Sports,West,2017-12-13 02:19:49.189189184,2017-12-17 02:19:49.189189184
100003,Second Class,6,2,4.0,231.06,10.63,Sports,Central,2017-12-17 11:33:20.000000000,2017-12-23 11:33:20.000000000
100004,First Class,5,1,5.0,198.85,17.57,Electronic Supplies,Central,2017-08-22 13:32:58.378378368,2017-08-27 13:32:58.378378368
100005,Standard Class,6,4,6.0,130.17,3.33,Electronic Supplies,East,2016-08-23 15:51:21.081081080,2016-08-29 15:51:21.081081080
100006,Standard Class,5,5,4.0,103.11,20.13,Clothing,West,2017-09-17 20:54:03.243243248,2017-09-22 20:54:03.243243248
100007,Standard Class,5,5,3.0,211.48,18.64,Clothing,West,2017-07-03 20:59:49.189189184,2017-07-08 20:59:49.189189184
100008,Second Class,6,2,1.0,89.35,17.43,Clothing,West,2017-01-19 17:30:48.648648648,2017-01-25 17:30:48.648648648
100009,First Class,3,2,2.0,85.49,11.53,Clothing,West,2018-06-09 09:29:22.162162160,2018-06-12 09:29:22.162162160
100010,Second Class,4,2,2.0,78.92,3.09,Sports,West,2015-07-18 18:12:36.756756756,2015-07-22 18:12:36.756756756
100011,Standard Class,3,5,4.0,151.03,19.65,Sports,Central,2018-03-31 05:53:09.189189184,2018-04-03 05:53:09.189189184
100012,Same Day,8,0,5.0,118.1,20.64,Electronic Supplies,South,2015-04-22 01:42:20.540540540,2015-04-30 01:42:20.540540540
100013,Second Class,7,3,,134.32,13.94,Clothing,Central,2017-07-18 11:44:51.891891888,2017-07-25 11:44:51.891891888
100014,Standard Class,2,3,5.0,242.06,28.06,Electronic Supplies,East,2018-11-23 00:02:52.972972976,2018-11-25 00:02:52.972972976
100015,Standard Class,5,4,3.0,322.51,21.25,Clothing,West,2018-10-02 20:25:13.513513504,2018-10-07 20:25:13.513513504
100016,Standard Class,7,3,3.0,442.66,49.55,Clothing,East,2018-08-06 20:29:32.972972976,2018-08-13 20:29:32.972972976
100017,Standard Class,3,5,1.0,179.31,23.14,Clothing,South,2016-02-14 05:01:15.675675676,2016-02-17 05:01:15.675675676
100018,First Class,5,1,1.0,216.14,13.77,Sports,East,2018-07-14 11:17:28.648648640,2018-07-19 11:17:28.648648640
100019,Standard Class,7,5,2.0,194.95,4.61,Clothing,South,2018-01-17 04:07:55.675675680,2018-01-24 04:07:55.675675680
100020,Standard Class,2,3,3.0,58.08,12.37,Electronic Supplies,South,2016-04-11 04:56:56.216216216,2016-04-13 04:56:56.216216216
100021,standard class ,5,2,1.0,135.6,21.47,Electronic Supplies,South,2017-03-13 08:12:58.378378376,2017-03-18 08:12:58.378378376
100022,FIRST CLASS,3,3,2.0,136.0,9.0,Electronic Supplies,South,2015-09-12 07:03:47.027027028,2015-09-15 07:03:47.027027028
100023,Standard Class,7,3,4.0,123.71,15.78,Clothing,South,2016-06-26 04:51:10.270270272,2016-07-03 04:51:10.270270272
100024,Standard Class,8,3,4.0,167.9,-1.39,Electronic Supplies,West,2017-02-09 04:33:52.432432432,2017-02-17 04:33:52.432432432
